name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Planococcus kocurii	1374	species	3485580	29	13	0.0
Aerococcus	1375	genus	0	3	0	0.0
Aerococcus urinae	1376	species	2027618	72	49	0.0
Aerococcus viridans	1377	species	2199877	38	6	0.0
Gemella	1378	genus	0	1	0	0.0
Atopobium parvulum	1382	species	1543805	9	6	0.0
Bacillales	1385	order	0	22	0	0.0
Bacillus	1386	genus	0	229	153	0.0
Bacillus amyloliquefaciens	1390	species	7264085	133	63	0.0
Bacillus anthracis	1392	species	19552719	149	82	0.0
Brevibacillus brevis	1393	species	6469936	52	36	0.0
Bacillus cereus	1396	species	13824162	1384	892	0.0
Bacillus coagulans	1398	species	6128401	97	82	0.0
Bacillus licheniformis	1402	species	30493173	106	18	0.0
Bacillus megaterium	1404	species	5380541	169	93	0.0
Bacillus mycoides	1405	species	17514250	345	263	0.0
Paenibacillus polymyxa	1406	species	10814072	204	108	0.0
Bacillus pumilus	1408	species	24519476	187	103	0.0
Bacillus sp. (in: Bacteria)	1409	species	4233615	47	8	0.0
Bacillus cellulosilyticus	1413	species	4681672	61	50	0.0
Lysinibacillus sphaericus	1421	species	22490079	143	101	0.0
Geobacillus stearothermophilus	1422	species	3571659	47	15	0.0
Bacillus subtilis	1423	species	11131147	39378	39009	0.0
Parageobacillus thermoglucosidasius	1426	species	7938085	40	19	0.0
Bacillus thuringiensis	1428	species	11418364	645	283	0.0
Amphibacillus xylanus	1449	species	2569486	36	27	0.0
Bacillus atrophaeus	1452	species	8424866	75	47	0.0
Geobacillus kaustophilus	1462	species	3592666	14	1	0.0
Paenibacillus larvae	1464	species	13176472	32	24	0.0
Brevibacillus laterosporus	1465	species	5253881	51	44	0.0
Bacillus methanolicus	1471	species	3425208	40	32	0.0
Virgibacillus pantothenticus	1473	species	4263520	35	23	0.0
Sporosarcina psychrophila	1476	species	4674191	84	48	0.0
Bacillus simplex	1478	species	5583751	81	54	0.0
Bacillus smithii	1479	species	3381292	48	35	0.0
Virgibacillus halodenitrificans	1482	species	3917759	42	28	0.0
Clostridium	1485	genus	0	8	1	0.0
Clostridium acetobutylicum	1488	species	4136895	69	52	0.0
Clostridium botulinum	1491	species	8983007	1623	1456	0.0
Clostridium butyricum	1492	species	18483337	119	92	0.0
Clostridium cellulovorans	1493	species	5262222	71	56	0.0
Clostridium cochlearium	1494	species	2435419	35	23	0.0
Clostridioides difficile	1496	species	27012813	165	134	0.0
Clostridium formicaceticum	1497	species	9173483	43	31	0.0
Clostridium pasteurianum	1501	species	7484269	141	106	0.0
Clostridium perfringens	1502	species	9101773	152	121	0.0
Paeniclostridium sordellii	1505	species	3584812	68	50	0.0
Clostridium sporogenes	1509	species	8284974	93	46	0.0
[Clostridium] stercorarium	1510	species	4042789	14	11	0.0
Acetoanaerobium sticklandii	1511	species	2715461	44	35	0.0
Clostridium tetani	1513	species	2869591	69	50	0.0
Ruminiclostridium thermocellum	1515	species	3634338	38	23	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2858584	52	41	0.0
Clostridium tyrobutyricum	1519	species	3134437	32	27	0.0
Clostridium beijerinckii	1520	species	7698876	201	161	0.0
[Clostridium] cellulolyticum	1521	species	4068724	32	24	0.0
Moorella thermoacetica	1525	species	6658074	18	15	0.0
Clostridium kluyveri	1534	species	4164012	94	68	0.0
Clostridium ljungdahlii	1538	species	4630065	62	8	0.0
Clostridium novyi	1542	species	2547720	39	27	0.0
Clostridium scatologenes	1548	species	5749410	84	61	0.0
Gottschalkia acidurici	1556	species	3108248	47	27	0.0
Clostridium baratii	1561	species	3275173	102	79	0.0
Desulfosporosinus orientis	1563	species	5863081	45	38	0.0
Desulfotomaculum ruminis	1564	species	3969014	33	23	0.0
Desulfotomaculum nigrificans	1565	species	2892255	20	15	0.0
Sporosarcina	1569	genus	0	2	0	0.0
Halobacillus halophilus	1570	species	4171766	32	23	0.0
Sporosarcina ureae	1571	species	13511270	93	65	0.0
Leifsonia xyli	1575	species	2955779	33	23	0.0
Lactobacillus	1578	genus	0	6	0	0.0
Lactobacillus acidophilus	1579	species	3320069	23	16	0.0
Lactobacillus brevis	1580	species	9670136	41	25	0.0
Lactobacillus buchneri	1581	species	2575738	19	12	0.0
