name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pedobacter sp. PACM 27299	1727164	species	6147290	43	33	0.0
Methylomonas sp. DH-1	1727196	species	5127407	42	17	0.0
Rhodococcus sp. H-CA8f	1727214	species	6497607	27	13	0.0
Salegentibacter sp. T436	1729720	species	4086550	67	47	0.0
Algibacter alginicilyticus	1736674	species	3994770	54	41	0.0
Devosia sp. A16	1736675	species	5032994	39	23	0.0
Agarilytica rhodophyticola	1737490	species	7113812	45	37	0.0
Burkholderia sp. Bp5365	1740162	species	7287809	56	6	0.0
Burkholderia sp. Bp7605	1740163	species	5705688	38	26	0.0
Cuniculiplasmataceae	1747776	family	0	7	0	0.0
Cuniculiplasma	1747777	genus	0	7	0	0.0
Mycoplasma sp. (ex Biomphalaria glabrata)	1749074	species	647830	20	13	0.0
Marinobacter sp. LQ44	1749259	species	4435564	17	12	0.0
Kurthia sp. 11kri321	1750719	species	2964527	43	28	0.0
Nostoc sp. NIES-3756	1751286	species	6987571	45	37	0.0
Streptomyces sp. 4F	1751294	species	8047771	42	27	0.0
Fischerella sp. NIES-3754	1752063	species	5826863	44	31	0.0
Leptolyngbya sp. NIES-3755	1752064	species	6761657	20	16	0.0
Paraphotobacterium marinum	1755811	species	2593992	43	35	0.0
Elizabethkingia genomosp. 3	1756149	species	4433522	43	16	0.0
Elizabethkingia genomosp. 4	1756150	species	4216720	50	25	0.0
Celeribacter ethanolicus	1758178	species	4157437	17	11	0.0
Aeromonas sp. ASNIH5	1758179	species	4783196	48	11	0.0
Acinetobacter sp. ACNIH2	1758189	species	4169274	29	21	0.0
Achromobacter sp. AONIH1	1758194	species	6648943	87	48	0.0
Serratia sp. SSNIH1	1758196	species	5388594	57	10	0.0
Serinicoccus sp. JLT9	1758689	species	3597394	26	21	0.0
Caulobacteraceae bacterium OTSz_A_272	1759059	species	3732719	28	22	0.0
Streptococcus sp. A12	1759399	species	1874337	8	2	0.0
Serratia sp. YD25	1759437	species	5117644	61	22	0.0
Pseudoalteromonas sp. 13-15	1761891	species	4099967	33	18	0.0
Isosphaeraceae	1763524	family	0	11	0	0.0
Flavobacterium crassostreae	1763534	species	3027315	14	11	0.0
Hydrogenophaga crassostreae	1763535	species	4944132	34	23	0.0
Thalassotalea crassostreae	1763536	species	3861670	39	23	0.0
