gene,A1,A2,A3,B1,B2,B3
gene2802,22.83,13.27,6.48,59.51,20,22.08
gene2803,0.78,1.16,0.3,0.3,0.25,0.35
gene2804,1.56,1.16,0.24,4.49,2.17,5.78
gene2805,0.61,0.45,0.55,2.87,1.42,0.98
gene2806,0.28,0.39,0.55,0,0.19,0.17
gene2807,0.17,0.26,0.36,1.32,0.8,1.33
gene2808,7.2,2.9,9.63,28.14,12.76,16.76
gene2809,2.07,1.87,0.24,0.12,0.68,0.17
gene2810,1,1.61,1.27,2.93,2.85,8.32
gene2811,0.61,0.52,0.18,1.32,1.36,1.73
gene2812,1,0.9,0.06,2.75,0.93,3.24
gene2813,2.62,2.9,2,0.9,0.31,0.92
gene2814,40.42,20.35,104.74,27.12,26.38,26.41
gene2815,0.84,1.22,0.73,2.81,4.64,1.85
gene2816,44.38,24.6,77.05,18.08,30.09,30.63
gene2817,4.41,3.61,2.85,23.89,9.47,22.42
gene2818,6.2,8.76,6.42,12.09,24.27,16.76
gene2819,2.29,3.8,0.06,0.3,0.43,0.87
gene2820,0.5,0.26,0.73,1.5,1.8,0.87
gene2821,34.44,30.39,77.48,26.16,26.87,27.34
gene2822,0.39,0.77,0.18,3.35,1.55,2.02
gene2823,1.28,1.74,1.51,0.66,0.25,0.64
gene2824,0.17,0.26,0.42,1.2,0.31,1.1
gene2825,17.25,9.85,3.51,42.39,11.83,22.31
gene2826,14.35,12.62,12.12,22.09,14.92,40.17
gene2827,3.13,1.42,2.79,0.84,0.74,1.39
gene2828,0.28,0.26,0.12,1.44,0.5,1.04
gene2829,13.4,14.94,11.51,28.68,28.48,29.65
gene2830,0.33,0.39,0.36,0.12,0.06,0.12
gene2831,6.48,1.93,0.67,22.27,5.33,7.28
gene2832,3.18,0.45,3.7,10.06,9.78,14.91
gene2833,1.28,1.29,0.12,4.07,3.47,6.24
gene2834,0.78,0.39,2.12,0.06,0.25,0.12
gene2835,0.06,0.32,0.18,1.26,0.62,1.27
gene2836,2.12,1.67,0.42,0.12,0,0.29
gene2837,11.56,20.35,0.79,0.66,87.12,58.55
gene2838,0.11,0.19,0.12,1.14,0.87,0.87
gene2839,0.17,0.13,0.36,0.66,0.5,1.33
gene2840,0.89,2.58,0.3,0.36,0.12,0.29
gene2841,28.25,13.78,25.38,42.75,42.23,46.64
gene2842,11.89,10.69,12.12,8.5,1.92,3.58
gene2843,2.12,1.22,0.55,4.25,3.47,6.47
gene2844,0.89,0.26,0.55,0.3,0.19,0.12
gene2845,7.54,5.73,2.97,11.91,8.3,16.59
gene2846,11.28,11.01,1.7,2.45,2.72,3.58
gene2847,0.11,0.32,0.3,0.66,0.74,5.95
gene2848,2.46,3.16,0.91,12.57,5.82,12.43
gene2849,0.56,0.39,0.06,1.5,0.43,1.39
gene2850,1.62,0.32,0.91,5.21,3.1,13.99
gene2851,9.32,5.09,7.94,3.47,2.66,3.06
gene2852,0.45,0.26,0.18,2.1,0.74,0.69
gene2853,4.52,5.6,2.91,1.38,0.93,2.02
gene2854,0.28,0.13,0,0.6,0.56,1.1
gene2855,0.11,0.64,0.06,3.59,3.16,4.62
gene2856,4.8,3.99,4.91,2.69,1.55,1.68
