gene,A1,A2,A3,B1,B2,B3
gene4557,0.33,0.26,0.06,0.6,0.56,1.04
gene4558,0.78,0.39,0.18,2.1,0.93,1.27
gene4559,26.46,18.22,12.96,64.6,31.95,77.1
gene4560,0.33,0.13,0.18,0.78,0.31,1.21
gene4561,0.45,0.32,1.33,0.12,0.25,0.23
gene4562,0.5,0.13,0.12,0.72,0.8,0.69
gene4563,0.61,0.45,0.24,1.44,1.36,0.87
gene4564,3.68,3.16,1.27,9.64,5.26,8.84
gene4565,3.46,2.06,1.03,7.48,2.41,7.46
gene4566,1.67,2.9,0.55,4.31,4.58,10.75
gene4567,8.26,8.69,3.82,13.35,12.76,17.05
gene4568,0.78,1.16,0.48,0.24,0.12,0.35
gene4569,0.06,0.19,0,0.54,0.37,0.81
gene4570,2.34,1.55,0.67,10.12,3.59,9.13
gene4571,0.11,0.45,0.61,0.54,1.86,1.68
gene4572,6.31,7.34,7.33,2.51,3.65,4.05
gene4573,0.11,0.26,0,0.36,0.68,0.29
gene4574,8.48,3.86,1.76,19.46,8.48,14.85
gene4575,0.33,0.06,0,1.08,0.5,2.37
gene4576,4.97,3.93,0.85,18.38,4.46,15.14
gene4577,1.79,0.58,0.55,0.54,0.06,0
gene4578,6.59,8.95,2.18,23.29,25.2,37.33
gene4579,1.17,0.26,1.33,0.42,0.25,0.35
gene4580,0,0.13,0.12,0.36,0.56,0.29
gene4581,0.67,2.51,0.67,0.18,0.74,0.35
gene4582,1.34,0.19,0.12,7.66,0.5,0.98
gene4583,1.51,2,0.91,3.83,5.51,3.64
gene4584,25.85,22.47,12.3,67.96,30.34,82.65
gene4585,7.82,5.41,5.45,33.23,7.24,19.65
gene4586,1.4,1.09,0.48,0.36,0.19,0.52
gene4587,5.41,4.12,10.3,2.87,2.72,3.18
gene4588,0.5,0.06,0.18,0.9,0.93,0.92
gene4589,0.73,1.8,0,1.14,4.52,6.47
gene4590,29.36,44.17,6.66,62.39,57.96,43.52
gene4591,1.9,1.8,3.57,5.75,6.25,6.01
gene4592,0.22,0.45,0.3,0.06,0,0.12
gene4593,3.52,1.93,0.55,6.95,2.6,7.92
gene4594,15.74,8.89,4.3,30.36,23.04,25.83
gene4595,3.18,2.45,3.27,7.07,5.33,9.13
gene4596,23.89,18.09,22.47,63.35,30.34,47.68
gene4597,0.67,0.32,0.12,1.14,0.68,1.21
gene4598,1.12,0.9,0.12,4.01,2.41,5.55
gene4599,2.23,1.22,2.48,4.13,3.59,8.5
gene4600,5.97,6.31,4.3,3.11,1.73,1.27
gene4601,4.41,4.31,4.91,1.62,1.49,2.37
gene4602,2.12,1.55,0.18,8.74,1.73,2.49
gene4603,8.82,4.57,7.09,18.02,14.55,14.74
gene4604,4.8,6.05,2.85,11.8,9.6,8.5
gene4605,6.03,5.86,2.3,12.21,7.12,14.97
gene4606,0.33,0.19,0.06,1.02,0.43,0.46
gene4607,0.5,0.64,0.12,0.9,0.93,1.68
gene4608,4.63,5.34,4.85,1.44,2.54,2.54
gene4609,0.67,0.13,0.06,1.86,0.87,2.89
gene4610,0.78,0.45,0.55,1.5,0.43,5.09
gene4611,65.98,41.34,81.17,34.49,28.79,34.45
gene4612,0.06,0.06,0,0.54,0.31,0.29
gene4613,0.17,0.06,0.06,0.54,0.99,0.52
gene4614,5.97,6.31,3.88,22.69,9.91,30
gene4615,7.37,5.99,4.6,18.38,9.6,11.5
gene4616,1.79,1.48,2.3,3.77,0.93,15.49
gene4617,7.7,2.96,11.03,0.18,2.29,1.44
gene4618,7.98,3.93,5.51,14.73,9.91,13.75
gene4619,1.79,2.32,3.03,20.66,12.38,16.07
gene4620,8.21,13.01,6.3,20.24,19.94,20.52
gene4621,0.56,0.32,0.73,1.02,0.93,2.66
gene4622,60.34,18.93,99.17,19.82,37.46,30.46
gene4623,5.14,5.47,2.42,1.14,1.98,2.14
gene4624,1.28,0.9,0.61,1.98,1.73,4.74
gene4625,0.73,0.39,0.3,1.62,0.62,1.85
gene4626,0.61,0.32,0.24,2.16,0.37,1.96
gene4627,0.45,0,0.73,1.44,0.99,5.14
gene4628,1.79,1.22,0.42,1.86,3.03,4.97
gene4629,0.28,0.26,0.97,0,0,0.29
gene4630,5.81,2.58,2.36,13.89,11.52,6.24
gene4631,0.39,0.06,0.24,0.66,0.37,1.04
gene4632,1.67,2.12,1.88,0.3,0.25,0.52
gene4633,0.78,1.42,0.97,2.51,2.85,3.87
gene4634,41.92,40.83,12.18,15.57,13.31,18.73
gene4635,0.45,0.39,0,0.54,0.68,1.5
gene4636,0.56,0.13,0.36,2.28,1.3,1.16
gene4637,0.11,0.13,0,0.24,0.68,0.98
gene4638,15.85,17.45,7.09,28.14,27.68,31.09
gene4639,0.33,0.32,0.12,0.9,0.56,1.21
gene4640,37.07,14.04,67.79,18.32,15.11,21.79
gene4641,1.45,1.42,0.79,2.57,2.48,3.87
gene4642,0.17,0.13,0.06,1.02,0.31,0.46
gene4643,0.28,0.19,0.18,1.68,0.93,1.73
gene4644,1.17,0.77,0.73,0.06,0.25,0.23
gene4645,0.5,0.26,0,0.54,0.68,0.92
gene4646,3.41,5.02,3.88,1.44,2.91,0.87
gene4647,1.34,1.29,1.76,3.23,2.85,9.25
gene4648,0.11,0.06,0.12,1.8,0.37,0.69
gene4649,1.28,0.77,1.21,2.22,2.11,4.51
gene4650,13.12,16.87,4.06,4.67,5.08,3.41
gene4651,0.84,0.32,0.12,4.61,1.3,2.66
gene4652,0,0.39,0.06,0.36,0.37,0.81
gene4653,0.33,0,0.12,2.1,0.37,1.85
gene4654,3.52,6.95,5.21,1.38,2.72,2.25
gene4655,0.33,0.19,0.79,2.81,0.5,1.68
gene4656,1.79,1.67,0.12,2.93,6.56,1.62
gene4657,56.21,13.01,90.99,18.56,18.02,23.98
gene4658,19.54,22.34,6.91,40.24,27.25,40.51
gene4659,7.87,9.72,3.27,1.26,3.78,2.54
gene4660,0.95,0.9,0.85,1.86,1.73,3.12
gene4661,56.99,50.94,88.63,31.67,34.8,29.88
gene4662,5.47,7.41,3.76,20.12,14.18,20.92
gene4663,0.28,0.13,0.06,1.2,0.74,0.58
gene4664,0.17,0.13,0.18,0.72,0.5,0.81
gene4665,1.45,1.29,0.91,0.36,0.12,0.81
gene4666,5.58,4.57,2.6,1.68,1.3,2.66
gene4667,0.84,0.39,0.73,0.18,0.19,0.4
gene4668,0.61,0.26,0.67,0.06,0,0.17
gene4669,10.61,10.62,13.51,6.29,3.03,5.95
gene4670,8.43,8.11,1.82,1.92,1.55,2.83
gene4671,16.47,16.23,17.51,37.18,35.85,38.61
gene4672,4.74,2.32,7.45,1.44,0.93,3.41
gene4673,0.11,0.26,0,0.66,0.68,0.23
gene4674,0.67,0.32,0.24,1.2,0.93,2.37
gene4675,4.24,3.09,4.18,1.98,0.25,1.21
gene4676,0.73,0.26,0.12,1.44,0.43,1.73
gene4677,1.17,1.67,0.97,0.3,0.06,0.52
gene4678,0.73,0.32,0.12,1.14,1.05,1.16
gene4679,0.89,0.32,0.67,4.13,1.61,1.96
gene4680,0.78,0.45,0.55,1.92,0.99,2.72
gene4681,1.9,3.61,3.57,9.22,11.83,11.67
gene4682,1.28,1.74,0.79,0.42,0.68,0.46
gene4683,2.34,2.06,1.15,5.39,4.15,3.47
gene4684,3.68,8.95,2.97,0.66,1.36,1.68
gene4685,9.43,10.43,14.96,6.83,2.79,5.37
gene4686,0.61,0.52,0.36,3.89,0.5,2.83
gene4687,1.56,0.58,0.61,3.71,0.87,7.69
gene4688,1.9,0.26,0.3,5.51,0.25,3.87
gene4689,1.12,0.64,0.42,1.62,1.73,3.58
gene4690,6.81,7.92,2.36,22.27,8.17,23.75
gene4691,9.55,5.73,5.45,31.73,7.12,17.11
gene4692,1.06,0.39,0.61,3.23,1.61,1.85
gene4693,2.96,2,1.58,11.02,3.1,15.43
gene4694,11.95,10.5,6.12,23.11,20.43,20.86
gene4695,2.01,1.03,0.67,4.07,1.61,4.91
gene4696,8.21,10.95,5.45,28.68,8.61,23.52
gene4697,3.07,3.03,2.79,11.68,8.3,26.41
gene4698,0.45,0.45,0.73,0.06,0.12,0.29
gene4699,0.11,0.06,0.12,0.72,0.87,0.81
gene4700,0.5,0.84,0.3,1.32,2.54,1.5
gene4701,5.02,3.99,3.27,23.83,4.52,15.49
gene4702,33.55,14.68,42.65,15.57,12.82,20.52
gene4703,11.95,10.88,2.18,30.89,5.76,26.82
gene4704,0.5,0.77,0.55,1.32,1.24,2.25
gene4705,70.06,27.95,88.14,24.91,29.97,38.32
gene4706,0.39,0.26,0.18,1.8,0.37,2.6
gene4707,2.96,1.67,0.85,5.39,4.09,11.67
gene4708,7.93,6.37,3.03,25.09,6.5,10.69
gene4709,17.03,15.97,2.85,5.51,3.96,3.35
gene4710,4.86,2.32,1.27,17,2.48,10.4
gene4711,3.85,0.26,7.27,0.06,0.87,0.52
gene4712,5.36,2.9,4.36,1.62,0.25,1.04
gene4713,1.34,0.58,0.85,0.54,0.12,0.35
gene4714,1.23,1.22,0.73,3.41,3.16,2.6
gene4715,0.73,0.52,1.58,3.23,1.98,3.18
gene4716,0.17,0.13,0.3,0.42,0.62,0.98
gene4717,1.4,1.48,0.85,5.33,3.84,6.07
gene4718,0,0.19,0.24,0.36,0.31,0.98
gene4719,13.73,8.31,9.33,34.79,9.54,34.91
gene4720,8.37,9.59,9.75,4.91,4.09,4.57
gene4721,4.02,0.45,5.88,0.06,0.99,0.92
gene4722,4.52,4.51,0.79,0.96,1.49,0.92
gene4723,5.14,4.64,4.91,2.22,1.24,2.2
gene4724,29.7,22.73,11.63,60.47,32.01,79.24
gene4725,0.39,0.13,0.18,0.78,0.43,0.75
gene4726,11.28,5.47,13.39,4.25,2.91,3.47
gene4727,44.6,30.01,61.91,26.34,29.91,25.31
gene4728,15.85,11.27,18.23,42.09,20.06,34.21
gene4729,14.35,10.17,6.91,40.83,24.83,34.39
gene4730,11.44,7.73,6.36,35.86,19.07,36.93
gene4731,9.88,9.79,6.06,30.18,16.47,26.41
gene4732,9.94,8.56,5.45,29.88,14.99,25.43
gene4733,0.5,0.9,0.24,0.12,0.12,0.23
gene4734,0.84,0.58,0.48,3.47,1.24,2.89
gene4735,0.78,0.06,1.03,2.57,0.56,3.93
gene4736,0.06,0,0.18,0.42,0.43,0.58
gene4737,0.11,0,0.18,0.24,0.37,0.87
gene4738,1.45,2.19,1.82,0.42,1.24,0.29
gene4739,41.25,44.5,77.54,23.71,18.33,40.17
gene4740,11.28,9.4,2.54,32.09,7.99,22.14
gene4741,1,0.39,0.36,0.18,0,0.06
gene4742,18.42,8.37,14.48,1.08,0.87,1.33
gene4743,0.33,0.58,0.24,1.38,1.55,2.77
gene4744,0.84,1.03,0.06,2.51,1.42,1.62
gene4745,0.89,1.87,0.12,6.77,10.46,2.72
gene4746,1.4,2,0.67,4.31,1.36,5.26
gene4747,91.38,89.06,79.72,47.3,53.69,50.51
gene4748,2.62,2.25,1.15,6.53,3.1,7.92
gene4749,3.29,3.54,0.42,8.2,3.16,10.35
gene4750,0.84,0.39,0.12,2.69,0.37,2.25
gene4751,4.3,3.16,3.7,1.74,0.19,1.21
gene4752,3.91,12.3,10.36,13.23,20.31,47.97
gene4753,2.74,2.64,0.79,6.83,4.33,7.11
gene4754,4.41,5.34,2.42,1.5,1.8,2.2
gene4755,0.5,0.52,0.06,2.63,0.56,1.16
gene4756,0.33,0.45,0.79,0.9,0.87,3.53
gene4757,0.56,0.39,0.55,1.5,1.05,3.12
gene4758,65.14,26.47,151.69,29.04,14.8,63
gene4759,1.51,1.22,0.67,0.3,0.25,0.52
gene4760,8.99,7.79,5.39,19.04,11.83,21.44
gene4761,0.22,0.26,0.42,1.74,0.37,1.73
gene4762,1.67,0.9,1.39,0.48,0.5,0.52
gene4763,0.06,0,0.06,0.3,0.25,0.35
gene4764,0.28,0.58,0.12,1.68,0.87,0.64
gene4765,0.39,0.77,0.36,0,0,0.06
gene4766,3.01,1.87,7.27,2.22,1.3,1.33
gene4767,47.56,22.6,80.02,18.26,31.21,30.4
gene4768,2.68,1.74,1.21,10.36,4.09,5.95
gene4769,8.21,6.44,2.24,1.56,2.04,2.95
gene4770,5.92,7.08,2.36,1.8,1.11,2.77
gene4771,2.79,2.83,2.18,1.02,1.05,1.27
gene4772,11.28,9.59,13.99,5.57,3.1,5.26
gene4773,2.68,1.87,0.61,0.84,0.62,0.23
gene4774,0.17,0.26,0.06,1.02,0.25,1.21
gene4775,1.51,1.87,0.48,4.37,1.73,4.57
gene4776,0.22,0.19,0.18,0.96,0.37,1.5
gene4777,0.17,0.71,0.12,1.74,0.56,3.35
gene4778,0.06,0.06,0.36,0.6,0.8,1.39
gene4779,37.01,10.37,36.47,19.4,7.93,14.16
gene4780,0.11,0.26,0.06,0.48,0.43,0.46
gene4781,4.74,3.86,1.27,10.78,4.52,8.55
gene4782,0.95,0.84,0.06,2.04,1.98,1.33
gene4783,1.67,1.74,2.12,0.96,0.62,0.75
gene4784,0.56,0.13,0.24,0.6,1.55,0.81
gene4785,6.92,3.67,6.36,12.99,14.49,16.64
gene4786,1.34,1.61,0.3,2.69,3.28,3.93
gene4787,1.95,1.03,0.55,2.69,2.79,4.57
gene4788,8.09,9.14,8.18,54.61,11.52,42.94
gene4789,6.59,9.4,7.75,3.89,3.9,3.06
gene4790,0.28,0.13,0.24,0.3,1.36,2.02
gene4791,2.01,1.74,1.82,7.54,3.96,10.4
gene4792,0.61,0.45,0.18,2.39,0.25,2.08
gene4793,6.42,8.56,5.63,18.86,15.54,13.99
gene4794,4.8,3.67,4.85,2.28,1.36,2.31
gene4795,16.52,13.52,11.93,28.2,28.3,22.42
gene4796,0.61,0.58,0,2.34,0.25,1.85
gene4797,1.4,0.58,0.61,3.41,1.8,3.99
gene4798,4.24,3.28,1.88,7.9,4.33,13.75
gene4799,1.73,0.9,1.39,6.89,2.54,4.68
gene4800,12.06,13.78,4.79,24.49,17.46,24.04
gene4801,3.29,6.05,5.03,1.5,2.29,2.25
gene4802,4.41,3.28,1.39,12.03,4.83,11.85
gene4803,12.62,9.79,3.57,42.93,17.71,29.82
gene4804,1.9,1.93,1.76,7.54,2.91,10.87
gene4805,2.62,1.93,1.27,8.56,2.04,11.44
gene4806,0.61,0.39,0.3,3.35,0.19,0.98
gene4807,13.34,19.58,15.63,25.45,40.87,23.46
gene4808,1.79,1.87,1.03,3.53,2.04,6.7
gene4809,1.45,0.71,0.42,2.63,1.8,5.66
gene4810,1.73,1.16,1.33,0.24,0.56,0.4
gene4811,0.11,0.19,0.06,0.66,0.31,1.16
gene4812,7.09,3.54,8.48,46.28,24.77,42.59
gene4813,4.69,13.33,7.03,13.71,17.83,30.98
gene4814,18.37,1.93,10.84,2.87,4.77,3.47
gene4815,27.3,25.76,4.73,45.56,33.31,44.21
gene4816,15.18,9.92,5.88,4.19,3.84,5.84
gene4817,28.8,23.31,17.26,13.29,11.27,14.56
gene4818,1.51,0.06,0.55,4.91,1.73,3.18
gene4819,50.57,30.65,35.56,19.82,17.96,14.62
gene4820,2.12,0.97,5.03,11.56,6.75,12.25
gene4821,1.12,0.39,0.73,6.29,1.55,3.41
gene4822,12.56,13.2,13.93,6.47,8.42,6.36
gene4823,0.11,0.39,0.18,0.84,0.37,0.92
gene4824,0.17,0.06,0.3,0.96,0.43,1.27
gene4825,67.66,35.93,115.22,28.92,38.89,44.1
gene4826,23.78,16.87,23.93,86.76,60.99,75.77
gene4827,1.06,0.77,1.7,1.44,2.35,7.05
gene4828,22.05,23.31,19.51,11.44,14.8,11.1
gene4829,43.54,63.43,22.78,68.97,80.19,77.16
gene4830,0.11,0.06,0.12,0.42,0.43,0.23
gene4831,10.38,9.66,6.78,37.48,9.78,38.2
gene4832,2.34,1.03,2.73,0.3,0.8,0.52
gene4833,26.79,5.92,48.64,9.16,13.75,13.18
gene4834,9.82,13.52,4.42,24.61,19.13,18.84
gene4835,0.22,0.26,2.36,0.66,0.31,22.66
gene4836,5.75,2.51,1.51,19.16,13.19,13.52
gene4837,9.77,7.21,6,32.33,27.25,25.14
gene4838,2.51,1.48,4.42,9.52,4.33,9.42
gene4839,60.96,27.05,88.5,24.43,38.89,36.06
gene4840,2.01,1.29,3.51,3.59,6.19,13.12
gene4841,0.61,0.19,0.97,1.74,1.3,7.28
gene4842,4.58,3.86,5.57,2.04,1.92,1.73
gene4843,0.22,0.19,0.12,0.84,0.5,0.64
gene4844,4.41,3.67,2.36,1.38,1.36,1.91
gene4845,2.68,2.58,1.58,7.36,5.02,11.96
gene4846,0.22,0.52,0.3,0.06,0.12,0.12
gene4847,1.17,1.03,3.82,7.6,4.21,7.8
gene4848,1.17,0.45,0.61,3.05,1.05,1.91
gene4849,0.73,0.71,1.09,5.45,4.27,4.91
gene4850,2.01,1.03,1.58,0.6,0.43,0.75
gene4851,5.86,4.57,3.21,24.61,11.21,22.14
gene4852,4.47,5.86,4.79,1.26,2.11,2.25
gene4853,46.44,19.77,88.32,30.06,28.05,26.18
gene4854,0.45,1.03,2.36,1.8,3.47,7.28
gene4855,3.01,3.03,1.03,8.74,3.59,11.39
gene4856,1.28,1.03,1.82,0.24,0.62,0.87
gene4857,10.94,2.96,15.81,3.83,4.09,4.91
gene4858,0.17,0.19,0.24,0.54,0.8,1.91
gene4859,0,0.71,0,3.83,3.1,4.68
gene4860,24.34,26.66,33.56,10.6,12.88,13.23
gene4861,0.61,0.71,0.24,0.24,0.12,0
gene4862,0.61,0.64,0.97,2.51,1.3,3.58
gene4863,0.61,0.97,0.79,0.42,0.25,0.35
gene4864,1.34,2.96,0.55,3.95,3.41,5.89
gene4865,1.12,0.45,0.24,1.98,0.8,2.2
gene4866,15.41,14.94,16.6,6.59,9.16,8.44
gene4867,15.41,14.75,10.66,6.29,7.37,7.28
gene4868,2.01,2.06,1.21,5.39,4.52,4.16
gene4869,7.37,8.37,1.33,18.44,8.98,22.66
gene4870,1,0.39,2.24,0,0.68,0.17
gene4871,8.65,6.18,8.6,20.78,9.1,25.31
gene4872,0.56,0.58,0.85,1.86,0.99,3.58
gene4873,0.73,0.19,0.85,1.38,0.87,3.58
gene4874,0.56,0.77,0.48,4.19,0.25,2.6
gene4875,1.51,1.67,2.06,5.93,0.99,12.83
gene4876,0.73,0.52,0.12,1.74,0.68,1.44
gene4877,2.68,3.54,1.76,6.23,3.41,14.56
gene4878,0.67,1.29,0.79,0.24,0.19,0.58
gene4879,0.11,0.06,0.12,0.36,0.37,0.35
gene4880,0.84,2.45,2.79,0.36,1.11,0.81
gene4881,70.17,68.84,89.78,57.78,36.84,51.67
gene4882,13.01,20.35,4.3,4.97,5.57,1.79
gene4883,7.54,2.77,6.48,25.51,8.98,14.56
gene4884,1.45,1.29,0.48,0.24,0.31,0.4
gene4885,3.63,4.25,3.63,1.38,1.49,2.14
gene4886,12.62,13.39,3.63,3.35,3.34,4.45
gene4887,0.17,0.19,0,1.08,0.25,3.29
gene4888,1.4,1.09,0.85,0.42,0.31,0.17
gene4889,24.28,10.3,16.42,43.77,33.93,43.06
gene4890,12.23,8.18,6.85,24.49,15.67,14.68
gene4891,31.65,33.42,11.69,11.44,12.38,16.18
gene4892,4.52,5.67,2.18,1.74,1.73,1.73
gene4893,0.11,0,0.12,0.48,0.31,0.52
gene4894,0.45,0.58,0.24,2.75,1.05,2.37
gene4895,2.34,0.58,0.91,0.36,0.56,0.23
gene4896,0.95,0.58,0.48,1.74,1.67,1.5
gene4897,36.34,24.34,62.03,16.94,26.01,17.68
gene4898,2.4,0.9,2.67,0.66,0.25,1.21
gene4899,0.28,0.45,0,0.84,0.56,0.75
gene4900,8.99,5.6,5.51,18.08,9.6,21.21
gene4901,29.75,23.5,57.49,21.85,18.58,22.08
gene4902,0.61,1.22,2.42,2.75,5.57,3.87
gene4903,20.99,45.85,10.36,51.79,49.48,54.73
gene4904,2.57,3.86,0.97,8.98,4.27,12.02
gene4905,38.63,51.32,54.82,21.67,32.63,21.15
gene4906,21.04,13.27,10.96,42.03,26.81,45.43
gene4907,2.46,1.29,1.45,7.72,1.55,6.88
gene4908,1.12,0.71,0.3,0.36,0.19,0.12
gene4909,22.11,19.12,14.9,50.59,24.83,39.3
gene4910,0.33,0.45,0,0.72,0.87,1.16
gene4911,8.15,20.86,1.45,2.16,4.27,4.16
gene4912,15.52,1.42,22.11,2.51,6.56,4.16
gene4913,19.87,16.16,19.45,7.6,15.48,4.91
gene4914,0.45,0.06,0.12,1.68,0.87,2.89
gene4915,0.33,0.13,0.12,0.6,0.56,1.85
gene4916,2.23,3.73,1.09,0.54,1.55,0.4
gene4917,4.02,3.03,1.7,13.89,3.9,12.25
gene4918,0.28,0.52,0.12,1.02,0.62,2.49
gene4919,0.89,0.58,0.12,4.55,1.8,6.01
gene4920,20.1,24.41,19.57,48.38,38.45,42.13
gene4921,0.78,0.9,0.3,3.11,0.68,2.6
gene4922,0.61,0.26,0.42,0.84,0.8,2.02
gene4923,1.67,1.55,0,6.71,2.72,10.69
gene4924,0.84,0.84,0.91,0.24,0.37,0.35
gene4925,14.85,8.05,12.84,29.04,30.78,26.12
gene4926,0.33,0.45,0.18,1.92,0.31,1.5
gene4927,2.74,1.16,1.58,7.07,3.28,8.73
gene4928,7.82,6.12,5.69,23.89,15.29,23.41
gene4929,123.98,65.42,229.95,83.64,60.37,72.99
gene4930,0.56,0.45,0.3,1.2,1.98,1.04
gene4931,0,0,0,0.84,0.43,1.39
gene4932,0.28,0.52,1.03,0.12,0.19,0.29
gene4933,7.98,7.08,5.51,35.33,20.87,18.32
gene4934,1.67,1.61,0.61,0.54,0.43,0.64
gene4935,2.74,1.29,1.21,7.54,3.03,3.76
gene4936,0.22,0,0,0.24,0.37,0.4
gene4937,27.13,34.64,9.75,52.81,39.57,53.81
gene4938,3.52,2.25,1.58,13.05,2.48,10.98
gene4939,0.61,0.06,0.06,0.96,0.43,1.04
gene4940,86.13,68.9,164.59,67.36,61.92,59.87
gene4941,30.53,13.52,27.68,61.67,33.07,49.59
gene4942,0.45,1.42,0.55,0.18,0,0.23
gene4943,6.08,3.03,3.15,7.3,11.64,9.82
gene4944,0.28,0.06,0.06,0.24,0.93,0.29
gene4945,62.41,42.37,24.05,140.76,39.2,75.19
gene4946,34.78,47.91,16.9,59.75,59.63,59.93
gene4947,0.56,0.39,0.06,1.5,0.62,1.16
gene4948,3.96,1.42,2.42,11.56,5.94,7.8
gene4949,4.52,4.7,1.76,10.72,6.38,10.52
gene4950,29.19,21.44,68.21,15.39,19.38,19.19
gene4951,30.48,40.12,9.45,52.33,45.39,55.25
gene4952,0.56,0.45,0.36,1.86,0.25,2.02
gene4953,43.26,48.75,38.53,24.55,29.66,28.67
gene4954,3.01,0.32,7.63,0.12,0.74,0.4
gene4955,2.62,3.54,2,0.18,0.19,0.17
gene4956,0.73,0.64,0.3,0,0.06,0.35
gene4957,15.57,9.27,15.57,52.63,16.35,44.56
gene4958,2.51,1.87,0.24,0.72,0.19,0.4
gene4959,0.39,0.26,0.48,0,0.06,0.12
gene4960,1.4,0.58,0.3,7.3,2.72,9.59
gene4961,0.17,0.19,0.06,0.48,0.43,0.64
gene4962,11.72,9.02,7.63,22.93,15.11,47.68
gene4963,0.84,0.58,0.55,2.16,0.93,3.24
gene4964,1.9,0.39,6.18,0.36,1.42,0.87
gene4965,29.86,25.24,29.08,11.62,9.97,12.31
gene4966,0.22,0.26,0.06,0.84,0.43,0.52
gene4967,0.56,0.13,0.48,1.32,1.36,2.49
gene4968,0.45,0.45,0.18,0.9,0.68,2.37
gene4969,0.61,0.64,0.73,0.36,0.06,0.17
gene4970,0.28,0.06,0,0.24,0.99,0.46
gene4971,0.28,0.39,0.12,1.8,1.11,1.33
gene4972,3.57,1.67,3.03,14.37,2.72,7.4
gene4973,9.71,13.91,6.36,23.65,17.4,18.84
gene4974,0.5,0.13,0.12,0.66,0.99,1.27
gene4975,3.74,6.37,5.15,1.68,2.29,2.25
gene4976,1.17,1.03,0.36,0.18,0.43,0.4
gene4977,3.18,1.42,6.66,0.66,0.31,1.39
gene4978,10.44,10.11,2.67,31.07,7.24,21.09
gene4979,11.11,8.31,2.18,29.28,7.8,19.77
gene4980,8.09,11.2,1.15,13.11,13.25,28.61
gene4981,0.5,0.32,0.12,0.66,1.98,2.72
gene4982,1.17,0.32,0.55,0.3,0.12,0.12
gene4983,6.53,7.98,7.39,2.75,3.03,3.41
gene4984,0.33,0.13,0.3,4.49,0.37,0.87
gene4985,0.95,0.58,0.42,3.17,0.93,2.54
gene4986,10.72,10.75,8.84,29.34,11.02,29.36
gene4987,7.93,7.21,9.03,3.77,3.53,3.64
gene4988,2.34,1.35,0.61,0.3,0.06,0.17
gene4989,0.56,1.22,0.3,1.86,1.18,2.89
gene4990,41.42,24.28,37.62,7.18,2.41,6.82
gene4991,4.19,2.51,3.27,9.82,7.18,5.72
gene4992,0,0,0.06,0.66,0.99,0.23
gene4993,4.08,6.63,4.54,1.44,2.48,2.54
gene4994,3.29,2,1.45,0.36,0,0.58
gene4995,0.61,0.32,0.36,0,0,0.06
gene4996,0.28,0.32,0.12,0.9,1.11,1.79
gene4997,0.5,0.71,0.3,1.08,1.42,1.62
gene4998,2.12,2,0.73,0,0,0
gene4999,1.9,2.12,2.54,8.2,3.41,5.89
gene5000,0.5,0.26,0.06,0.9,0.99,0.69
gene5001,0,0.19,0.06,0.36,1.36,0.35
gene5002,0.28,0.13,0.73,0.78,1.11,2.2
gene5003,10.94,10.05,6.78,28.74,15.91,27.16
gene5004,0.11,0,0.06,1.92,0.93,0.87
gene5005,0.45,0.45,0.48,1.8,0.37,2.25
gene5006,3.41,0.45,2.6,9.58,8.24,13.64
gene5007,5.47,4.77,3.15,10.12,12.82,21.44
gene5008,0.39,0.52,0.24,0,0.19,0.12
gene5009,26.01,31.17,21.57,15.03,11.7,10.58
gene5010,56.49,44.24,76.51,35.27,36.53,30.4
gene5011,0.56,1.22,0.42,2.16,5.51,3.64
gene5012,3.68,4.96,2.42,6.29,8.79,9.88
gene5013,4.3,5.47,3.09,1.2,2.41,1.39
gene5014,38.01,44.17,54.34,29.4,32.01,23.64
gene5015,0.06,0.19,0,0.36,1.86,1.56
gene5016,0.78,0.64,0.12,1.62,0.62,2.6
gene5017,0.5,0.71,0.67,0.18,0.19,0.17
gene5018,3.46,3.22,4.54,30.48,16.97,32.13
gene5019,2.23,1.48,2.06,10.54,11.02,4.51
gene5020,1.79,0.71,1.03,5.03,3.34,4.16
gene5021,47.28,22.6,39.86,24.01,14.68,16.7
gene5022,11,9.72,6.48,28.92,17.9,24.97
gene5023,15.24,2.64,2.79,41.55,1.92,27.16
gene5024,0.33,0.64,0.24,0.06,0.06,0.12
gene5025,12.28,13.91,4.97,21.91,16.47,23.18
gene5026,0.95,1.42,0.18,2.63,2.41,3.58
gene5027,1.28,0.52,0.24,3.95,1.8,6.88
gene5028,36.17,14.68,66.21,16.47,16.22,20.81
gene5029,1,0.39,0.06,2.16,1.3,4.91
gene5030,1.4,0.64,2.06,0.12,0.5,0.64
gene5031,1.4,2.51,0.79,0.42,0.06,0.17
gene5032,0.39,0.26,0.12,0.9,0.8,1.21
gene5033,8.04,11.14,8.06,6.35,2.29,3.76
gene5034,0.06,0.06,0.12,0.36,0.31,0.75
gene5035,0.73,0.45,0.12,1.14,1.36,1.96
gene5036,2.85,2.25,0.85,9.94,7,5.43
gene5037,0.17,0.19,0.06,4.43,0.62,2.66
gene5038,0.11,0.19,0,0.24,0.5,0.35
gene5039,0.5,0.26,0.85,0.06,0.12,0.17
gene5040,39.52,21.57,56.52,22.93,21.49,16.24
gene5041,1.73,1.35,0.3,5.33,2.41,6.01
gene5042,0.28,0.58,0.12,1.14,1.49,1.96
gene5043,12.39,14.17,10.6,29.1,25.08,29.19
